,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
1249066837用户数据,0.58141325,0.653039335,0.631733509,0.634371359,0.604036318,0.631868472,0.6155663,0.650877146,0.662585445,0.607165585,0.644669806,0.605126797,0.624451731,0.595983065,0.636803652,0.615661199,0.614247929,0.591502928,0.612809577,0.614247929
1249629662用户数据,0.624770402,0.631824845,0.57543791,0.594594984,0.599829604,0.577493376,0.640398415,0.605580831,0.599246471,0.627827522,0.575739211,0.628663928,0.618813682,0.62912896,0.62549353,0.607065968,0.649571872,0.586116176,0.652671884,0.614247929
1250660373用户数据,0.665248121,0.621530623,0.619485251,0.611107422,0.622450378,0.681610342,0.657978934,0.625601919,0.585595877,0.614247929,0.620579558,0.632088111,0.756745247,0.594427149,0.574490596,0.546515555,0.957561802,0.637339753,0.614247929,0.88961961
1251695930用户数据,0.655714174,0.663417491,0.626686492,0.617490064,0.615653625,0.612233999,0.601355227,0.639038381,0.619440731,0.605527119,0.619326194,0.613606954,0.62009772,0.595324138,0.60519111,0.612966797,0.613550858,0.62811265,0.589079371,0.610345881
1252370543用户数据,0.593796884,0.600230647,0.593877566,0.644346425,0.619560021,0.637730891,0.605293399,0.659029427,0.649086257,0.651307306,0.618765487,0.644343043,0.633446779,0.619336633,0.622111718,0.617309095,0.641877864,0.646610752,0.642924168,0.628386999
1253178804用户数据,0.619305165,0.524406751,0.657686639,0.593912582,0.567235653,0.587281848,0.567644807,0.578913924,0.589230668,0.597642697,0.53836862,0.590139791,0.595057432,0.581248019,0.58330597,0.578244236,0.575473641,0.572865888,0.575734782,0.575736435
1258563461用户数据,0.63939047,0.509943745,0.614247929,0.634650109,0.602011189,0.567494316,0.5299261,0.681347853,0.609939424,0.62603922,0.527208085,0.614247929,0.58843197,0.628808633,0.58250803,0.566728258,0.608333539,0.591516643,0.571125539,0.582512984
1263388571用户数据,0.583370259,0.614247929,0.590817125,0.577129682,0.588739876,0.629037133,0.581337114,0.592215812,0.559481915,0.61583873,0.603926992,0.621937594,0.594464291,0.572021639,0.576641598,0.599191413,0.600586513,0.591186945,0.587816516,0.639040091
1264614571用户数据,0.622358981,0.61889084,0.621725443,0.647678017,0.626034437,0.640919388,0.632118965,0.642554316,0.676777022,0.637678275,0.631461708,0.68015096,0.613377752,0.605816966,0.601295382,0.634406501,0.657325614,0.641300598,0.61668808,0.638788721
1265847642用户数据,0.610577155,0.634983986,0.604106432,0.600032354,0.606974297,0.63908128,0.61094556,0.591963519,0.56890163,0.626213084,0.647811944,0.60930054,0.590412785,0.566377029,0.605932026,0.572015423,0.61207573,0.626031757,0.567234963,0.672888289
1270464573用户数据,0.599821125,0.603962322,0.629291429,0.606746618,0.612350014,0.612274387,0.608260445,0.618772332,0.60733529,0.603100461,0.606381791,0.599709637,0.603602898,0.590946447,0.614317254,0.609322663,0.615258976,0.611264006,0.604620286,0.63315127
1272396500用户数据,0.677049247,0.698677548,0.586148593,0.622305661,0.607613534,0.53234511,0.592090937,0.610178175,0.58673431,0.621150721,0.610893919,0.610604618,0.595056737,0.601792976,0.614247929,0.593881329,0.610779762,0.611144606,0.619998199,0.626064507
1275897597用户数据,0.551555249,0.601684871,0.574730996,0.583484476,0.588148237,0.575201949,0.559381605,0.568232365,0.574185737,0.617627437,0.598653615,0.614247929,0.582526014,0.57521873,0.563724987,0.571937471,0.561670528,0.56847609,0.734850619,0.584951881
1276919800用户数据,0.591948492,0.54696301,0.610574354,0.618746356,0.672605875,0.593016366,0.611821945,0.599028235,0.596068938,0.61609901,0.613398599,0.604530728,0.614450703,0.622560178,0.618760757,0.616015866,0.640667855,0.636944006,0.668930485,0.624704681
1278155664用户数据,0.605630649,0.595526737,0.609068543,0.594182896,0.590069747,0.56483832,0.591205391,0.589016815,0.578283351,0.598192991,0.553881744,0.546863497,0.599395394,0.56900078,0.555566328,0.547859711,0.601348288,0.573278384,0.602418082,0.573698822
1292494997用户数据,0.580071642,0.628913121,0.628738991,0.601488557,0.622040455,0.611972181,0.604115998,0.590172706,0.633137144,0.570903768,0.695385401,0.612069737,0.684831639,0.600222359,0.634222702,0.65214316,0.642801634,0.643901629,0.588344774,0.619054736
1293367372用户数据,0.666730267,0.600364278,0.68166028,0.584434772,0.565552059,0.560451549,0.606469543,0.60338607,0.574714126,0.581986817,0.59599436,0.594736243,0.547973458,0.605938374,0.606694035,0.606585024,0.603425206,0.604807611,0.60914642,0.59278247
1294686972用户数据,0.614247929,0.614247929,0.623439254,0.614247929,0.657108359,0.62843693,0.621577226,0.636298279,0.627527016,0.626695093,0.616139693,0.628575581,0.63095513,0.621029135,0.607678766,0.626245027,0.629534547,0.626979359,0.601964492,0.608450046
1295502524用户数据,0.65842444,0.618737607,0.631190348,0.630683473,0.656478113,0.667574258,0.638046818,0.74952056,0.668594269,0.686583148,0.652883821,0.653248676,0.622008606,0.603753738,0.688626978,0.666837302,0.645842275,0.639742588,0.693103704,0.612928595
1296452491用户数据,0.604827205,0.632553128,0.636465754,0.586658639,0.583865536,0.590830043,0.57934905,0.61166326,0.618334199,0.588225193,0.608270647,0.61111849,0.599706903,0.591185281,0.60737003,0.598452042,0.614483058,0.614402157,0.568182132,0.562239568
1296698460用户数据,0.592459103,0.503508222,0.647806924,0.571317457,0.588812361,0.59125751,0.614965232,0.612569315,0.596013797,0.607162255,0.549711994,0.588597685,0.618773099,0.575207412,0.614570441,0.612781245,0.650841648,0.586472872,0.614483337,0.60499526
1305356943用户数据,0.616154122,0.593299011,0.633058311,0.614247929,0.574927748,0.526924311,0.561091128,0.646456462,0.613162486,0.575607957,0.58876067,0.658182403,0.614247929,0.651152887,0.651152887,0.576825773,0.592573379,0.614247929,0.619450388,0.589638299
1313436053用户数据,0.598038843,0.61844181,0.608973671,0.597755624,0.56823729,0.642304619,0.630322275,0.623382781,0.647842248,0.605618635,0.602633951,0.617414394,0.637848913,0.646700662,0.613738274,0.637122425,0.630431563,0.601871662,0.59669353,0.62114778
1317388700用户数据,0.634195267,0.641659461,0.632983562,0.606062054,0.630955025,0.713825203,0.565959257,0.600390761,0.724764035,0.63906274,0.632496709,0.603247774,0.553018551,0.671460329,0.566164073,0.598480368,0.680045478,0.592565545,0.577691863,0.614247929
1327161762用户数据,0.614921396,0.640117615,0.633577748,0.611446103,0.614247929,0.589504091,0.617800517,0.581661957,0.646644597,0.683090849,0.582685279,0.652005982,0.566582047,0.596665794,0.61020646,0.579328456,0.540837678,0.634263823,0.461654395,0.565819148
1328153821用户数据,0.603123581,0.590150946,0.623488469,0.596816344,0.590514281,0.60045128,0.595217597,0.610355207,0.567182493,0.57264219,0.572074326,0.565097916,0.587446651,0.574775327,0.581707329,0.606338099,0.560770485,0.598485788,0.578268581,0.614247929
1331487990用户数据,0.630697932,0.614247929,0.624104997,0.705491828,0.654362014,0.614247929,0.585952609,0.546076109,0.579750442,0.589366704,0.577172759,0.594733755,0.601245471,0.593299862,0.579349519,0.606068663,0.594790934,0.576297997,0.57723005,0.564130454
1334968965用户数据,0.614247929,0.62651546,0.613261218,0.627528913,0.632300216,0.6131854,0.641072608,0.616002636,0.614247929,0.618629493,0.644669806,0.594228662,0.569469071,0.625518879,0.582771691,0.623192547,0.605321436,0.577329184,0.597579292,0.597900765
1348838615用户数据,0.60551219,0.609010573,0.625494139,0.579377049,0.589748483,0.601765487,0.614247929,0.614247929,0.614247929,0.589173966,0.615569969,0.597198206,0.628442144,0.605263811,0.598236844,0.614247929,0.614247929,0.596607043,0.531565714,0.614247929
1372572453用户数据,0.60763037,0.66757275,0.665799003,0.639133494,0.627328652,0.527135669,0.585076997,0.585344327,0.614368197,0.664553254,0.639153648,0.619514512,0.620708404,0.677877168,0.544769156,0.628132215,0.590022567,0.654283655,0.608442892,0.634208173
1377853770用户数据,0.528056215,0.588446967,0.619651608,0.601313473,0.610324084,0.577807535,0.594317272,0.580050319,0.600193135,0.577691863,0.599203826,0.588161051,0.612995847,0.544678877,0.574984007,0.614213759,0.586053403,0.643537578,0.609855481,0.586587189
1390183190用户数据,0.631152224,0.616820612,0.617177489,0.627651583,0.652911755,0.619352275,0.577647144,0.513283557,0.679135808,0.623115386,0.57957381,0.617707901,0.693990107,0.706510325,0.639964931,0.565325533,0.681862583,0.699648055,0.652671884,0.62822574
